,,,,,,,,,,
Trade Date,Symbol,Warehouse,Production Year,Opening Price,Closing Price,High,Low,Change,Persetntage Change,Volume (Ton)
03/15/2012,WYCBUGnp,DL,2004,950.00,0.00,950.00,950.00,0,0.0 ,12.14
03/13/2012,WYCBUGnp,DL,2004,950.00,0.00,950.00,950.00,0,0.0 ,12.67
05/11/2012,WYCBUGnp,DL,2004,850.00,0.00,850.00,850.00,0,0.0 ,7.29
05/23/2012,WYCBUGnp,DL,2004,870.00,0.00,870.00,870.00,0,0.0 ,14.3
07/12/2012,WYCBUGnp,DL,2004,730.00,0.00,730.00,730.00,0,0.0 ,9.93
07/11/2012,WYCBUGnp,DL,2004,835.00,0.00,835.00,835.00,0,0.0 ,14.55
07/05/2012,WYCBUGnp,DL,2004,855.00,0.00,855.00,855.00,0,0.0 ,9.64
07/17/2012,WYCBUGnp,DL,2004,891.00,0.00,891.00,891.00,0,0.0 ,27.98
07/19/2012,WYCBUGnp,DL,2004,900.00,0.00,900.00,900.00,0,0.0 ,7.65
07/20/2012,WYCBUGnp,DL,2004,960.00,0.00,960.00,960.00,0,0.0 ,14.33
07/26/2012,WYCBUGnp,DL,2004,900.00,0.00,900.00,900.00,0,0.0 ,7.65
08/01/2012,WYCBUGnp,DL,2004,900.00,0.00,900.00,900.00,0,0.0 ,3.88
08/14/2012,WYCBUGnp,DL,2004,860.00,0.00,860.00,860.00,0,0.0 ,12.75
07/04/2012,WYCBUGnp,DL,2004,855.00,0.00,855.00,855.00,0,0.0 ,31.3
05/29/2012,WYCBUGnp,DL,2004,800.00,0.00,800.00,800.00,0,0.0 ,4.71
06/11/2012,WYCBUGnp,DL,2004,850.00,0.00,850.00,850.00,0,0.0 ,11.48
09/12/2012,WYCBUGnp,DL,2004,860.00,0.00,860.00,860.00,0,0.0 ,11.31
09/14/2012,WYCBUGnp,DL,2004,850.00,0.00,850.00,850.00,0,0.0 ,3.15
02/09/2012,WYCBQ2,DL,2004,"1,380.00",0.00,"1,380.00","1,380.00",0,0.0 ,5.41
01/23/2012,WYCBQ2,DL,2004,"1,408.00",0.00,"1,408.00","1,408.00",0,0.0 ,10.8
01/16/2012,WYCBQ2,DL,2004,"1,395.00",0.00,"1,395.00","1,395.00",0,0.0 ,10.8
01/05/2012,WYCBQ2,DL,2004,"1,390.00",0.00,"1,390.00","1,387.00",0,0.0 ,25.19
01/10/2012,WYCBQ2,DL,2004,"1,370.00",0.00,"1,370.00","1,370.00",0,0.0 ,8.99
01/04/2012,WYCBQ2,DL,2004,"1,390.00",0.00,"1,390.00","1,390.00",0,0.0 ,18
01/03/2012,WYCBQ2,DL,2004,"1,395.00",0.00,"1,395.00","1,395.00",0,0.0 ,12.6
01/02/2012,WYCBQ2,DL,2004,"1,385.00",0.00,"1,390.00","1,385.00",0,0.0 ,23.39
12/19/2012,WYCBQ2,DL,2005,985.00,0.00,985.00,985.00,0,0.0 ,10.8
05/22/2012,WYCB9,DL,2004,730.00,0.00,730.00,730.00,0,0.0 ,12.6
04/26/2012,WYCB9,DL,2004,830.00,0.00,830.00,830.00,0,0.0 ,1.8
10/16/2012,WYCB8,DL,2004,750.00,0.00,750.00,750.00,0,0.0 ,5.85
05/11/2012,WYCB7,DL,2004,830.00,0.00,830.00,830.00,0,0.0 ,8.99
04/04/2012,WYCB7,DL,2004,"1,090.00",0.00,"1,090.00","1,090.00",0,0.0 ,9.21
03/20/2012,WYCB7,DL,2004,"1,030.00",0.00,"1,030.00","1,030.00",0,0.0 ,7.21
06/13/2012,WYCB7,DL,2004,700.00,0.00,700.00,700.00,0,0.0 ,4.51
02/20/2012,WYCB6,DL,2004,"1,220.00",0.00,"1,220.00","1,220.00",0,0.0 ,7.57
02/23/2012,WYCB6,DL,2004,"1,190.00",0.00,"1,190.00","1,190.00",0,0.0 ,3.01
03/27/2012,WYCB6,DL,2004,"1,150.00",0.00,"1,150.00","1,150.00",0,0.0 ,5.41
03/22/2012,WYCB6,DL,2004,"1,140.00",0.00,"1,140.00","1,140.00",0,0.0 ,12.8
04/03/2012,WYCB6,DL,2004,"1,160.00",0.00,"1,160.00","1,160.00",0,0.0 ,3.6
05/10/2012,WYCB6,DL,2004,820.00,0.00,820.00,820.00,0,0.0 ,10.8
05/11/2012,WYCB6,DL,2004,840.00,0.00,840.00,840.00,0,0.0 ,5.41
05/07/2012,WYCB6,DL,2004,850.00,0.00,850.00,850.00,0,0.0 ,14.4
05/25/2012,WYCB6,DL,2004,"1,000.00",0.00,"1,000.00","1,000.00",0,0.0 ,7.21
06/01/2012,WYCB6,DL,2004,960.00,0.00,960.00,960.00,0,0.0 ,7.21
06/06/2012,WYCB6,DL,2004,940.00,0.00,940.00,940.00,0,0.0 ,8.38
07/24/2012,WYCB6,DL,2004,"1,050.00",0.00,"1,050.00","1,050.00",0,0.0 ,4.85
05/09/2012,WYCB5,DL,2004,900.00,0.00,900.00,900.00,0,0.0 ,8.99
04/27/2012,WYCB5,DL,2004,"1,080.00",0.00,"1,080.00","1,080.00",0,0.0 ,10.8
05/02/2012,WYCB5,DL,2004,"1,000.00",0.00,"1,000.00","1,000.00",0,0.0 ,21.95
04/03/2012,WYCB5,DL,2004,"1,200.00",0.00,"1,200.00","1,200.00",0,0.0 ,7.21
03/22/2012,WYCB5,DL,2004,"1,200.00",0.00,"1,200.00","1,200.00",0,0.0 ,8.59
07/11/2012,WYCB5,DL,2004,"1,150.00",0.00,"1,150.00","1,150.00",0,0.0 ,3.11
06/01/2012,WYCB5,DL,2004,900.00,0.00,900.00,900.00,0,0.0 ,12.6
06/25/2012,WYCB5,DL,2004,920.00,0.00,920.00,920.00,0,0.0 ,12.6
06/18/2012,WYCB5,DL,2004,920.00,0.00,920.00,920.00,0,0.0 ,12.6
02/23/2012,WYCB4,DL,2004,"1,260.00",0.00,"1,260.00","1,260.00",0,0.0 ,8.99
02/29/2012,WYCB4,DL,2004,"1,300.00",0.00,"1,300.00","1,300.00",0,0.0 ,7.62
02/16/2012,WYCB4,DL,2004,"1,280.00",0.00,"1,280.00","1,280.00",0,0.0 ,5.07
02/08/2012,WYCB4,DL,2004,"1,365.00",0.00,"1,365.00","1,365.00",0,0.0 ,10.8
02/07/2012,WYCB4,DL,2004,"1,370.00",0.00,"1,370.00","1,370.00",0,0.0 ,10.8
01/12/2012,WYCB4,DL,2004,"1,420.00",0.00,"1,420.00","1,420.00",0,0.0 ,10.8
01/23/2012,WYCB4,DL,2004,"1,385.00",0.00,"1,385.00","1,385.00",0,0.0 ,8.99
01/24/2012,WYCB4,DL,2004,"1,380.00",0.00,"1,380.00","1,380.00",0,0.0 ,8.99
03/13/2012,WYCB4,DL,2004,"1,040.00",0.00,"1,040.00","1,040.00",0,0.0 ,23.8
03/15/2012,WYCB4,DL,2004,"1,140.00",0.00,"1,140.00","1,140.00",0,0.0 ,10.8
03/16/2012,WYCB4,DL,2004,"1,197.00",0.00,"1,197.00","1,197.00",0,0.0 ,7.21
03/22/2012,WYCB4,DL,2004,"1,230.00",0.00,"1,350.00","1,230.00",0,0.0 ,39.39
03/27/2012,WYCB4,DL,2004,"1,215.00",0.00,"1,235.00","1,215.00",0,0.0 ,28.12
03/20/2012,WYCB4,DL,2004,"1,230.00",0.00,"1,240.00","1,230.00",0,0.0 ,21.9
04/03/2012,WYCB4,DL,2004,"1,250.00",0.00,"1,250.00","1,250.00",0,0.0 ,21.08
04/02/2012,WYCB4,DL,2004,"1,250.00",0.00,"1,250.00","1,240.00",0,0.0 ,36.01
03/28/2012,WYCB4,DL,2004,"1,250.00",0.00,"1,250.00","1,250.00",0,0.0 ,23.39
04/10/2012,WYCB4,DL,2004,"1,235.00",0.00,"1,235.00","1,235.00",0,0.0 ,36.01
05/02/2012,WYCB4,DL,2004,"1,190.00",0.00,"1,190.00","1,190.00",0,0.0 ,4.51
05/04/2012,WYCB4,DL,2004,"1,280.00",0.00,"1,280.00","1,280.00",0,0.0 ,47.35
04/27/2012,WYCB4,DL,2004,"1,210.00",0.00,"1,210.00","1,210.00",0,0.0 ,7.21
05/08/2012,WYCB4,DL,2004,"1,280.00",0.00,"1,280.00","1,277.00",0,0.0 ,25.19
04/26/2012,WYCB4,DL,2004,"1,190.00",0.00,"1,190.00","1,190.00",0,0.0 ,1.8
04/24/2012,WYCB4,DL,2004,"1,200.00",0.00,"1,200.00","1,200.00",0,0.0 ,8.23
04/16/2012,WYCB4,DL,2004,"1,200.00",0.00,"1,200.00","1,200.00",0,0.0 ,12.6
04/18/2012,WYCB4,DL,2004,"1,190.00",0.00,"1,190.00","1,190.00",0,0.0 ,24.46
04/19/2012,WYCB4,DL,2004,"1,190.00",0.00,"1,190.00","1,190.00",0,0.0 ,7.21
05/25/2012,WYCB4,DL,2004,"1,200.00",0.00,"1,200.00","1,190.00",0,0.0 ,30.6
05/29/2012,WYCB4,DL,2004,"1,190.00",0.00,"1,190.00","1,190.00",0,0.0 ,8.99
05/22/2012,WYCB4,DL,2004,"1,200.00",0.00,"1,200.00","1,200.00",0,0.0 ,28.8
